"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","Blinding Lights","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:4yP0hdKOZPNshxUOjY0cZj","After Hours","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2020-03-20","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","1","9","200040","https://p.scdn.co/mp3-preview/51c08d92815cce4ac2de94a7335a430b81234624?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USUG11904206","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:28:01Z"
"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Shape of You","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2017-03-03","https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96","1","4","233712","https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAHS1600463","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:25:07Z"
"spotify:track:7qEHsqek33rTcFNT9PFqLf","Someone You Loved","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi","spotify:album:5658aM19fA3JVwTK6eQX70","Divinely Uninspired To A Hellish Extent","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi","2019-05-17","https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2","1","4","182160","https://p.scdn.co/mp3-preview/d0a8c5301bb8468037f613b2f5d3f9ab232f8923?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","DEUM71807062","spotify:user:mn5p25u214rrj1ehw4tvolww5","2024-01-27T00:29:31Z"
"spotify:track:4LRPiXqCikLlN15c3yImP7","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:2pqdSWeJVsXAhHFuVLzuA8","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-03-31","https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14","1","1","167303","https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USSM12200612","spotify:user:mn5p25u214rrj1ehw4tvolww5","2022-06-24T01:42:03Z"
"spotify:track:7MXVkk9YMctZqd1Srtv4MB","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","The Weeknd, Daft Punk","spotify:album:2ODvWsOgouMbaA5xf0RkJe","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2016-11-25","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452","1","1","230453","https://p.scdn.co/mp3-preview/57c1238d183c40da3157c2892346f58445b1377c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USUG11600976","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:30:40Z"
"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Sunflower - Spider-Man: Into the Spider-Verse","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","Post Malone, Swae Lee","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","12","157560","https://p.scdn.co/mp3-preview/3c0788c6aba94192edcb497d9a02075bf76c5400?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71814888","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:26:52Z"
"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","Sweater Weather","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4xkM0BwLM9H2IUcbYzpcBI","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-22","https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921","1","4","240400","https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USSM11300080","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T06:20:58Z"
"spotify:track:1zi7xx7UVEFkmKfv06H8x0","One Dance","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3tVQdUvClmAT7URs9V3rsp, spotify:artist:6TK7fjRPdy2GW2pJzNF23L","Drake, Wizkid, Kyla","spotify:album:40GMAhriYJRO1rsY4YdrZb","Views","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2016-05-06","https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c","1","12","173986","https://p.scdn.co/mp3-preview/0ee5843f6060102ce4ac239c856c452439e3d9d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USCM51600028","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:25:40Z"
"spotify:track:5HCyWlXZPP0y6Gqq8TgA20","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:4QLAtpLNUsHEYrcHXmMIZZ","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","2021-07-09","https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5","1","1","141805","https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USSM12103949","spotify:user:mn5p25u214rrj1ehw4tvolww5","2021-09-19T04:35:06Z"
"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Believer","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:33pt9HBdGlAbRGBHQgsZsU","Evolve","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2017-06-23","https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a","1","4","204346","https://p.scdn.co/mp3-preview/7d2f1ec114c44ecfa8b9017ad1c01cb041c8e613?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USUM71700626","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:29:06Z"
"spotify:track:02MWAaffLxlfxAUY7c5dvx","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:0KTj6k94XZh0c6IEMfxeWV","Dreamland (+ Bonus Levels)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-08-06","https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea","1","14","238805","https://p.scdn.co/mp3-preview/3ad42c65bc41d0845369a662a21d0c1e25df67fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBUM72000433","spotify:user:mn5p25u214rrj1ehw4tvolww5","2021-10-07T04:56:09Z"
"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Perfect","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2017-03-03","https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96","1","5","263400","https://p.scdn.co/mp3-preview/4e30857a3c7da3f8891483643e310bb233afadd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAHS1700024","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:28:42Z"
"spotify:track:2XU0oxnq2qxCpomAAuJY8K","Dance Monkey","spotify:artist:2NjfBq1NflQcKSeiDooVjY","Tones And I","spotify:album:0UywfDKYlyiu1b38DRrzYD","Dance Monkey (Stripped Back) / Dance Monkey","spotify:artist:2NjfBq1NflQcKSeiDooVjY","Tones And I","2019-10-17","https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169","1","2","209438","https://p.scdn.co/mp3-preview/d03d7e46e89547f5a1994483f27e221c8de1f5c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","QZES71982312","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:25:58Z"
"spotify:track:0u2P5u6lvoDfwTYjAADbn4","lovely (with Khalid)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Billie Eilish, Khalid","spotify:album:2sBB17RXTamvj7Ncps15AK","lovely (with Khalid)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Billie Eilish, Khalid","2018-04-19","https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c","1","1","200185","https://p.scdn.co/mp3-preview/18b3cbbad11e488c24c76d0c697cec8618c15f96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUM71804190","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:44:15Z"
"spotify:track:5uCax9HTNlzGybIStD3vDh","Say You Won't Let Go","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","James Arthur","spotify:album:7oiJYvEJHsmYtrgviAVIBD","Back from the Edge","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","James Arthur","2016-10-28","https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab","1","2","211466","https://p.scdn.co/mp3-preview/2eed95a3c08cd10669768ce60d1140f85ba8b951?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","DEE861600586","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:28:55Z"
"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","Closer","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:26VFTg2z8YR0cCuwLzESi2","The Chainsmokers, Halsey","spotify:album:0rSLgV8p5FzfnqlEk4GzxE","Closer","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:26VFTg2z8YR0cCuwLzESi2","The Chainsmokers, Halsey","2016-07-29","https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453","1","1","244960","https://p.scdn.co/mp3-preview/cfd565c4d3c621771e6d25d99749b9fc200e396c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USQX91601347","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:26:19Z"
"spotify:track:0e7ipj03S05BNilyu5bRzt","rockstar (feat. 21 Savage)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","6","218146","https://p.scdn.co/mp3-preview/beb04a51a925ea2ed2fb7c2363b7b3fa37ebc89b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USUM71710087","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:25:21Z"
"spotify:track:6RUKPb4LETWmmr3iAEQktW","Something Just Like This","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","The Chainsmokers, Coldplay","spotify:album:4JPguzRps3kuWDD5GS6oXr","Memories...Do Not Open","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","2017-04-07","https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94","1","5","247160","https://p.scdn.co/mp3-preview/4e117abe76700eb13e9e0557fa2d9c44b565b9da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USQX91700278","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:31:55Z"
"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:6rIbiUMmZJfqJRnXhVxFvg","Dream Your Life Away","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-08","https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094","1","4","204280","https://p.scdn.co/mp3-preview/74698d907d114f4ba0b2c129bbf260724be80b64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","AULI01385760","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:53:09Z"
"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Watermelon Sugar","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:7xV2TzoaVc0ycW7fwBwAml","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-13","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a","1","2","174000","https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USSM11912587","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T03:44:02Z"
"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Señorita","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Shawn Mendes, Camila Cabello","spotify:album:0xzScN8P3hQAz3BT3YYX5w","Shawn Mendes (Deluxe)","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2019-06-19","https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563","1","1","190799","https://p.scdn.co/mp3-preview/cf6ae4e497f91c285cc57ec2be36bbad2133af47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71911283","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:27:49Z"
"spotify:track:3dYD57lRAUcMHufyqn9GcI","Take Me To Church","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:0Uv83rRhY5QvHKkQoULRKk","Hozier","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b","1","1","241688","https://p.scdn.co/mp3-preview/333349ad660d769df4c7dbe970c34854150a7aed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","IEACJ1300031","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:36:47Z"
"spotify:track:3JRniBnSeieJB2IJuOuys7","Another Love","spotify:artist:2txHhyCwHjUEpJjWrEyqyX","Tom Odell","spotify:album:2q0bFwD2Y4E124PBgcFF7i","Another Love","spotify:artist:2txHhyCwHjUEpJjWrEyqyX","Tom Odell","2013-06-19","https://i.scdn.co/image/ab67616d0000b2734a1c058c1a05c427ffe873c0","1","1","244360","https://p.scdn.co/mp3-preview/0369cb748bc968ffd34fb4ac60f5403f2aad032f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","GBARL1300107","spotify:user:mn5p25u214rrj1ehw4tvolww5","2022-03-22T06:26:07Z"
"spotify:track:3PfIrDoz19wz7qK7tYeu62","Don't Start Now","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:7fJJK56U9fHixgO0HQkhtI","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f","1","2","183290","https://p.scdn.co/mp3-preview/cfc6684fc467e40bb9c7e6da2ea1b22eeccb211c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAHT1901121","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:44:29Z"
"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","Counting Stars","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:20lOt6G8MHv8ZO7ViOmiP7","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2013-01-01","https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb","1","1","257265","https://p.scdn.co/mp3-preview/6316f6cf12631da62c5b786421b25e66c3ab4ea6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USUM71301306","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:49:14Z"
"spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL","Photograph","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:1xn54DMo2qIqBuMqHtUsFd","x (Deluxe Edition)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2014-06-21","https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd","1","6","258986","https://p.scdn.co/mp3-preview/d90f4e5f15d8ed411307945560b1db8cca6b253b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBAHS1400094","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:29:55Z"
"spotify:track:285pBltuF7vW8TeWk8hdRR","Lucid Dreams","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-12-10","https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4","1","3","239835","https://p.scdn.co/mp3-preview/85ba40ef782e993bac9ee1c945f90c123b11ffec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUG11800685","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:31:20Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBAYE0000267","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T06:07:44Z"
"spotify:track:5XeFesFbtLpXzIVDNQP22n","I Wanna Be Yours","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","12","183956","https://p.scdn.co/mp3-preview/07de30bde8363d9ff78b72339245c151f67af451?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBCEL1300373","spotify:user:mn5p25u214rrj1ehw4tvolww5","2023-01-27T09:24:26Z"
"spotify:track:21jGcNKet2qwijlDFuPiPb","Circles","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","6","215280","https://p.scdn.co/mp3-preview/193a0924b0f73d211131bf2fb0bddb7202176202?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUM71915699","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:44:53Z"
"spotify:track:6DCZcSspjsKoFjzjrWoCdn","God's Plan","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1ATL5GLyefJaxhQzSPVrLX","Scorpion","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2018-06-29","https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5","1","5","198973","https://p.scdn.co/mp3-preview/a90a7912992fdfd494c99027c31eb9002b592ed3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USCM51800004","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:27:16Z"
"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1NAmidJlEaVgA3MpcPFYGq","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2019-08-23","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647","1","2","178426","https://p.scdn.co/mp3-preview/dba15da5409f3c808022cf927c0ff8581f717aa4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USUG11901472","spotify:user:mn5p25u214rrj1ehw4tvolww5","2023-09-03T03:28:48Z"
"spotify:track:4u7EnebtmKWzUH433cf5Qv","Bohemian Rhapsody - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:1GbtB4zTqAsyfZEsm1RZfx","A Night At The Opera (2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1975-11-21","https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0","1","11","354320","https://p.scdn.co/mp3-preview/d56de4777551c3eb7430ecf289809b1653147bf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71029604","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:33:32Z"
"spotify:track:3bidbhpOYeV4knp8AIu8Xn","Can't Hold Us (feat. Ray Dalton)","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp, spotify:artist:6WLvgbfYXQPO396oJEYCsi, spotify:artist:4e0nWw2r4BoQSKPQ2zpU13","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","spotify:album:76FXHQhTuT4QMIxfL09gX8","The Heist","spotify:artist:6WLvgbfYXQPO396oJEYCsi, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis","2012-10-09","https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec","1","2","258342","https://p.scdn.co/mp3-preview/989bcb16f82e4cfcbfebdf8cf0dd91abe86c84d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GMM881200021","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:50:15Z"
"spotify:track:6gBFPUFcJLzWGx4lenP6h2","goosebumps","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:42WVQWuf1teDysXiOupIZt","Birds In The Trap Sing McKnight","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2016-09-16","https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce","1","9","243836","https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USSM11607555","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:39:44Z"
"spotify:track:34gCuhDGsG4bRPIf9bb02f","Thinking out Loud","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:1xn54DMo2qIqBuMqHtUsFd","x (Deluxe Edition)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2014-06-21","https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd","1","11","281560","https://p.scdn.co/mp3-preview/7b5d54ffb3c4e5c28adafe19532de22508d62851?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBAHS1400099","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:27:00Z"
"spotify:track:2Fxmhks0bxGSBdJ92vM42m","bad guy","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2019-03-29","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","1","2","194087","https://p.scdn.co/mp3-preview/3d1ec5e181c3427ead96e3be34d606e3fc522a71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71900764","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:28:19Z"
"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Shallow","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:4VIvfOurcf0vuLRxLkGnIG","Lady Gaga, Bradley Cooper","spotify:album:4sLtOBOzn4s3GDUv3c5oJD","A Star Is Born Soundtrack","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:4VIvfOurcf0vuLRxLkGnIG","Lady Gaga, Bradley Cooper","2018-10-05","https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342","1","12","215733","https://p.scdn.co/mp3-preview/ad2317459e4acec34d54fc34282089bfb58fc9c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUM71813192","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:35:34Z"
"spotify:track:3hRV0jL3vUpRrcy398teAU","The Night We Met","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","spotify:album:4sD1qg4jwTZR4mvR4Iflk5","Strange Trails","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","2015-04-06","https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583","1","14","208211","https://p.scdn.co/mp3-preview/d563a6c29fb2e51cb10b638ab4f2409f0bf9d398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","US53Q1200103","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-30T06:30:00Z"
"spotify:track:50kpGaPAhYJ3sGmk6vplg0","Love Yourself","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Purpose (Deluxe)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2015-11-13","https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de","1","5","233720","https://p.scdn.co/mp3-preview/b750d9609aa454adb23284b1504d962a6ff9bb07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUM71516761","spotify:user:mn5p25u214rrj1ehw4tvolww5","2020-10-29T17:30:28Z"
